Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV240_plate05|2019.69863013699,SBV240,3,8,SBV240_plate05|2019.69863013699,C,H,,,,,,,,SBV240
SBV241_plate03|2019.72328767123,SBV241,2,5,SBV241_plate03|2019.72328767123,B,E,,,,,,,,SBV241
SBV242_plate03|2019.74794520548,SBV242,3,8,SBV242_plate03|2019.74794520548,C,H,,,,,,,,SBV242
SBV243_plate03|2019.78356164384,SBV243,3,8,SBV243_plate03|2019.78356164384,C,H,,,,,,,,SBV243
SBV244_plate03|2019.82739726027,SBV244,3,8,SBV244_plate03|2019.82739726027,C,H,,,,,,,,SBV244
SBV245_plate03|2019.84657534247,SBV245,2,6,SBV245_plate03|2019.84657534247,B,F,,,,,,,,SBV245
SBV246_plate03|2019.42739726027,SBV246,2,5,SBV246_plate03|2019.42739726027,B,E,,,,,,,,SBV246
SBV247_plate03|2019.99452054795,SBV247,3,8,SBV247_plate03|2019.99452054795,C,H,,,,,,,,SBV247
SBV249_plate03|2020.07650273224,SBV249,2,7,SBV249_plate03|2020.07650273224,B,G,,,,,,,,SBV249
SBV251_plate03|2020.15027322404,SBV251,3,8,SBV251_plate03|2020.15027322404,C,H,,,,,,,,SBV251
SBV252_plate03|2020.17759562842,SBV252,2,6,SBV252_plate03|2020.17759562842,B,F,,,,,,,,SBV252
SBV253_plate03|2020.31420765027,SBV253,3,8,SBV253_plate03|2020.31420765027,C,H,,,,,,,,SBV253
SBV254_plate03|2020.42896174863,SBV254,1,3,SBV254_plate03|2020.42896174863,A,C,,,,,,,,SBV254
SBV255_plate03|2020.43442622951,SBV255,3,8,SBV255_plate03|2020.43442622951,C,H,,,,,,,,SBV255
SBV256_plate03|2020.59836065574,SBV256,3,8,SBV256_plate03|2020.59836065574,C,H,,,,,,,,SBV256
SBV257_plate05|2019.42739726027,SBV257,3,8,SBV257_plate05|2019.42739726027,C,H,,,,,,,,SBV257
SBV258_plate03|2020.75136612022,SBV258,3,8,SBV258_plate03|2020.75136612022,C,H,,,,,,,,SBV258
SBV259_plate03|2020.76229508197,SBV259,3,8,SBV259_plate03|2020.76229508197,C,H,,,,,,,,SBV259
SBV260_plate03|2020.74316939891,SBV260,3,8,SBV260_plate03|2020.74316939891,C,H,,,,,,,,SBV260
